@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2017/06/26 16:26:45:638',1,239,77,73,?,?,?
2,'2017/06/26 16:26:45:697',1,239,77,72,?,?,?
3,'2017/06/26 16:26:45:748',1,238,77,73,?,?,?
4,'2017/06/26 16:26:45:798',1,238,77,73,?,?,?
5,'2017/06/26 16:26:45:846',1,241,79,69,?,?,?
6,'2017/06/26 16:26:45:896',1,239,77,72,?,?,?
7,'2017/06/26 16:26:45:944',1,239,78,72,?,?,?
8,'2017/06/26 16:26:45:992',1,237,76,75,?,?,?
9,'2017/06/26 16:26:46:043',1,237,77,74,?,?,?
10,'2017/06/26 16:26:46:091',1,240,79,71,?,?,?
11,'2017/06/26 16:26:46:140',1,239,78,72,?,?,?
12,'2017/06/26 16:26:46:188',1,238,78,72,?,?,?
13,'2017/06/26 16:26:46:237',1,238,78,72,?,?,?
14,'2017/06/26 16:26:46:284',1,241,79,70,?,?,?
15,'2017/06/26 16:26:46:332',1,237,77,74,?,?,?
16,'2017/06/26 16:26:46:380',1,238,78,73,?,?,?
17,'2017/06/26 16:26:46:434',1,238,77,74,?,?,?
18,'2017/06/26 16:26:46:482',1,240,78,72,?,?,?
19,'2017/06/26 16:26:46:530',1,239,78,74,?,?,?
20,'2017/06/26 16:26:46:579',1,239,77,73,?,?,?
21,'2017/06/26 16:26:46:628',1,242,79,70,?,?,?
22,'2017/06/26 16:26:46:676',1,242,79,70,?,?,?
23,'2017/06/26 16:26:46:724',1,242,79,70,?,?,?
24,'2017/06/26 16:26:46:772',1,242,79,69,?,?,?
25,'2017/06/26 16:26:46:820',1,242,79,70,?,?,?
26,'2017/06/26 16:26:46:867',1,239,78,72,?,?,?
